samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock,w
4908,0,21,30,1,,204.66,3.46,1879572,209.07,344
4908,0,21,30,2,,219.55,3.95,1947844,223.78,415
4908,0,21,30,10,,230.11,5.28,1951780,236.3,418
4908,0,21,30,50,,251.65,4.28,1956692,256.86,421
4908,0,21,30,100,,277.53,3.94,1959812,281.95,422
4908,0,21,30,200,,344.8,5.41,1962500,351.38,424
4908,0,22,30,1,,202.77,3.2,1853780,206.21,335
4908,0,22,30,2,,217.7,4.61,1921868,223.45,406
4908,0,22,30,10,,225.06,5.42,1924000,230.84,408
4908,0,22,30,50,,248.9,4.59,1929132,255.46,411
4908,0,22,30,100,,274.08,3.53,1932340,277.95,413
4908,0,22,30,200,,337.86,4.71,1935144,343.19,414
