samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock,s
4908,0,21,30,1,,60.72,2.9,1038572,63.71,3.3
4908,0,21,30,2,,2512.51,13.81,1092136,2546.51,3.6
4908,0,21,30,10,,3904.97,24.68,1099080,3940.0,14
4908,0,21,30,50,,4393.25,40.14,1141056,4444.0,59
4908,0,21,30,100,,4806.43,44.61,1195268,4866.0,116
4908,0,21,30,200,,5175.48,29.28,1314476,5220.0,246
4908,0,22,30,1,,50.29,2.79,1030656,53.16,3.4
4908,0,22,30,2,,2417.57,15.18,1080860,2442.95,3.4
4908,0,22,30,10,,3756.64,19.98,1092260,3792.0,13
4908,0,22,30,50,,4396.11,32.55,1131776,4444.0,60
4908,0,22,30,100,,4581.02,29.82,1188948,4625.0,120
4908,0,22,30,200,,4964.73,36.93,1317712,5022.0,261
