samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock
4908,0,16,30,200,,1620.49,11.66,3499592,1643.39
4908,0,17,30,1,,70.76,4.82,2103584,75.78999999999999
4908,0,17,30,2,,121.51,2.68,2208024,125.58
4908,0,17,30,10,,268.76,6.88,2235004,277.92
4908,0,17,30,50,,554.91,5.33,2361080,561.48
4908,0,17,30,100,,1022.93,10.06,2531088,1044.5
4908,0,17,30,200,,1557.43,11.39,2991552,1592.96
4908,0,18,30,1,,80.98,3.96,2016312,85.23
4908,0,18,30,2,,111.97,5.43,2103304,119.37
4908,0,18,30,10,,300.27,4.91,2124784,309.69
4908,0,18,30,50,,714.13,6.54,2237044,738.79
4908,0,18,30,100,,989.41,10.32,2427904,1015.34
4908,0,18,30,200,,1593.7,13.46,2871024,1749.89
4908,0,19,30,1,,69.74,3.45,1671756,81.39
4908,0,19,30,2,,81.44,4.18,1751692,86.1
4908,0,19,30,10,,256.74,7.01,1771676,266.66
4908,0,19,30,50,,497.46,4.9,1884192,506.08
4908,0,19,30,100,,823.92,7.33,2044032,837.13
4908,0,19,30,200,,1304.11,19.99,2424688,1408.29
4908,0,20,30,1,,60.91,3.36,1621104,65.5
4908,0,20,30,2,,98.99,3.41,1692300,105.07
4908,0,20,30,10,,238.51,4.87,1711888,244.09
4908,0,20,30,50,,471.22,6.24,1813964,485.23
4908,0,20,30,100,,834.44,4.66,1969344,858.45
4908,0,20,30,200,,1160.59,12.47,2353800,1177.01
4908,0,21,30,1,,42.51,2.66,1038396,46.26
4908,0,21,30,2,,58.77,3.45,1092000,62.79
4908,0,21,30,10,,148.17,3.55,1110404,152.29
4908,0,21,30,50,,324.2,2.98,1175636,328.07
4908,0,21,30,100,,488.53,3.92,1265764,493.55
4908,0,21,30,200,,764.88,5.88,1519880,790.68
4908,0,22,30,1,,42.45,3.41,1030456,46.13
4908,0,22,30,2,,54.76,1.52,1086112,56.4
4908,0,22,30,10,,144.47,3.0,1098724,148.4
4908,0,22,30,50,,332.45,2.18,1164224,335.5
4908,0,22,30,100,,463.1,3.28,1253796,467.64
4908,0,22,30,200,,711.83,12.24,1545364,725.99
