samples,sites,panel,n_query,tool,variant,user_time,sys_time,max_mem,wall_clock,w
4908,0,21,30,1,,297.22,5.4,1879596,311.24,344
4908,0,21,30,2,,307.22,6.4,1947840,323.18,415
4908,0,21,30,10,,311.65,5.1,1951476,335.57,418
4908,0,21,30,50,,361.58,6.26,1956616,380.95,421
4908,0,21,30,100,,365.19,4.0,1959676,375.78,422
4908,0,21,30,200,,431.23,5.61,1962544,444.31,424
4908,0,22,30,1,,283.16,4.74,1853652,292.9,335
4908,0,22,30,2,,277.2,4.64,1921848,288.44,406
4908,0,22,30,10,,306.58,6.01,1924200,323.92,408
4908,0,22,30,50,,317.58,5.05,1928972,331.85,411
4908,0,22,30,100,,355.4,4.38,1932292,365.64,413
4908,0,22,30,200,,418.2,4.21,1935072,430.74,414
