time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-08 00:00:00+00:00,16,7,0,0
2026-04-09 00:00:00+00:00,9,5,1,1
2026-04-10 00:00:00+00:00,2,2,1,1
2026-04-11 00:00:00+00:00,23,10,1,1
2026-04-12 00:00:00+00:00,10,6,0,0
2026-04-13 00:00:00+00:00,30,8,2,1
2026-04-14 00:00:00+00:00,18,6,0,0
2026-04-15 00:00:00+00:00,23,10,0,0
2026-04-16 00:00:00+00:00,24,7,0,0
2026-04-17 00:00:00+00:00,13,4,1,1
2026-04-18 00:00:00+00:00,2,2,1,1
2026-04-19 00:00:00+00:00,17,8,1,1
2026-04-20 00:00:00+00:00,34,17,6,6
2026-04-21 00:00:00+00:00,30,17,1,1
