url_path,views_total,views_unique
/dlcgold/muPBWT,24,7
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT,4,1
/dlcgold/muPBWT/issues,2,2
/dlcgold/muPBWT/pulls,2,2
/dlcgold/muPBWT/blob/github-repo-stats/dlcgold/muPBWT/latest-report/report.pdf,2,1
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT/ghrs-data,2,1
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT/ghrs-data/snapshots,2,1
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT/latest-report,2,1
/dlcgold/muPBWT/tree/github-repo-stats,1,1
