url_path,views_total,views_unique
/dlcgold/muPBWT,25,8
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT,4,1
/dlcgold/muPBWT/issues,3,3
/dlcgold/muPBWT/pulls,3,3
/dlcgold/muPBWT/blob/github-repo-stats/dlcgold/muPBWT/latest-report/report.pdf,2,1
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT/ghrs-data,2,1
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT/ghrs-data/snapshots,2,1
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT/latest-report,2,1
/dlcgold/muPBWT/tree/github-repo-stats,1,1
