time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-05 00:00:00+00:00,9,5,0,0
2026-01-06 00:00:00+00:00,6,3,0,0
2026-01-07 00:00:00+00:00,7,3,0,0
2026-01-08 00:00:00+00:00,9,5,7,1
2026-01-09 00:00:00+00:00,4,4,0,0
2026-01-10 00:00:00+00:00,14,6,0,0
2026-01-11 00:00:00+00:00,12,4,0,0
2026-01-12 00:00:00+00:00,12,4,6,2
2026-01-13 00:00:00+00:00,12,4,8,1
2026-01-14 00:00:00+00:00,10,6,3,1
2026-01-15 00:00:00+00:00,12,4,0,0
2026-01-16 00:00:00+00:00,13,5,3,2
2026-01-17 00:00:00+00:00,8,4,1,1
2026-01-18 00:00:00+00:00,18,6,0,0
