time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-29 00:00:00+00:00,3,3,1,1
2026-06-30 00:00:00+00:00,16,7,0,0
2026-07-01 00:00:00+00:00,19,6,0,0
2026-07-02 00:00:00+00:00,14,5,0,0
2026-07-03 00:00:00+00:00,9,4,0,0
2026-07-04 00:00:00+00:00,15,6,1,1
2026-07-05 00:00:00+00:00,13,4,0,0
2026-07-06 00:00:00+00:00,25,7,1,1
2026-07-07 00:00:00+00:00,25,7,0,0
2026-07-08 00:00:00+00:00,6,2,1,1
2026-07-09 00:00:00+00:00,24,7,0,0
2026-07-10 00:00:00+00:00,2,2,0,0
2026-07-11 00:00:00+00:00,28,10,1,1
2026-07-12 00:00:00+00:00,20,6,0,0
