time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-01 00:00:00+00:00,18,9,0,0
2026-06-02 00:00:00+00:00,15,6,0,0
2026-06-03 00:00:00+00:00,3,2,0,0
2026-06-04 00:00:00+00:00,18,5,0,0
2026-06-05 00:00:00+00:00,14,5,0,0
2026-06-06 00:00:00+00:00,8,3,1,1
2026-06-07 00:00:00+00:00,19,6,0,0
2026-06-08 00:00:00+00:00,22,9,0,0
2026-06-09 00:00:00+00:00,11,6,0,0
2026-06-10 00:00:00+00:00,10,6,0,0
2026-06-11 00:00:00+00:00,22,8,1,1
2026-06-12 00:00:00+00:00,9,4,1,1
2026-06-13 00:00:00+00:00,19,7,0,0
2026-06-14 00:00:00+00:00,42,9,0,0
