time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-18 00:00:00+00:00,2,2,1,1
2026-04-19 00:00:00+00:00,17,8,1,1
2026-04-20 00:00:00+00:00,34,17,6,6
2026-04-21 00:00:00+00:00,30,17,1,1
2026-04-22 00:00:00+00:00,70,26,0,0
2026-04-23 00:00:00+00:00,95,29,0,0
2026-04-24 00:00:00+00:00,83,29,1,1
2026-04-25 00:00:00+00:00,60,26,1,1
2026-04-26 00:00:00+00:00,34,10,1,1
2026-04-27 00:00:00+00:00,13,5,2,1
2026-04-28 00:00:00+00:00,7,2,0,0
2026-04-29 00:00:00+00:00,37,8,1,1
2026-04-30 00:00:00+00:00,29,6,6,6
2026-05-01 00:00:00+00:00,25,6,4,4
