url_path,views_total,views_unique
/dlcgold/muPBWT,25,9
/dlcgold/muPBWT/issues,4,4
/dlcgold/muPBWT/pulls,4,4
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT,4,1
/dlcgold/muPBWT/blob/github-repo-stats/dlcgold/muPBWT/latest-report/report.pdf,2,1
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT/ghrs-data,2,1
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT/ghrs-data/snapshots,2,1
/dlcgold/muPBWT/tree/github-repo-stats/dlcgold/muPBWT/latest-report,2,1
/dlcgold/muPBWT/tree/github-repo-stats,1,1
