time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-25 00:00:00+00:00,60,26,1,1
2026-04-26 00:00:00+00:00,34,10,1,1
2026-04-27 00:00:00+00:00,13,5,2,1
2026-04-28 00:00:00+00:00,7,2,0,0
2026-04-29 00:00:00+00:00,37,8,1,1
2026-04-30 00:00:00+00:00,29,6,6,6
2026-05-01 00:00:00+00:00,25,6,4,4
2026-05-02 00:00:00+00:00,14,4,5,5
2026-05-03 00:00:00+00:00,5,5,4,4
2026-05-04 00:00:00+00:00,9,5,0,0
2026-05-05 00:00:00+00:00,32,7,0,0
2026-05-06 00:00:00+00:00,13,4,0,0
2026-05-07 00:00:00+00:00,13,5,0,0
2026-05-08 00:00:00+00:00,4,4,0,0
